date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:11:52	20939/20939	---M-Z	200	added ('OK')	text/html	etag:%22755e1ce8d688c0076452196636094277-ssl-df%22	https://bryan-herrera.netlify.app/	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/index.html	(from )
20:11:52	1439/1439	---MCZ	404	error ('Not%20Found')	text/html	etag:1615902753-ssl-df	https://bryan-herrera.netlify.app/robots.txt		(from )
20:11:55	10331/10331	---M--	200	added ('OK')	image/png	etag:%221d588bbb8e336e968968b58fc199ba11-ssl%22	https://bryan-herrera.netlify.app/images/apple-touch-icon.png	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/images/apple-touch-icon.png	(from https://bryan-herrera.netlify.app/)
20:11:55	474233/474233	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Aug%202021%2023:11:13%20GMT	https://raw.githubusercontent.com/Bryan-Herrera-DEV/Bryan-Herrera-Portfolio/3396725e6593a766f88325ee42fe3a05401acc91/images/profile.jpg	C:/My%20Web%20Sites/copia/raw.githubusercontent.com/Bryan-Herrera-DEV/Bryan-Herrera-Portfolio/3396725e6593a766f88325ee42fe3a05401acc91/images/profile.jpg	(from https://bryan-herrera.netlify.app/)
20:11:56	1944/1944	---M--	200	added ('OK')	image/png	etag:%228f229651e5af24e8fad0c3be7c5e7abc-ssl%22	https://bryan-herrera.netlify.app/images/favicon-32x32.png	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/images/favicon-32x32.png	(from https://bryan-herrera.netlify.app/)
20:11:57	1270/1270	---M--	200	added ('OK')	image/png	etag:%228eb8cb4c60dbfdc4397784292fb6d002-ssl%22	https://bryan-herrera.netlify.app/images/favicon-16x16.png	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/images/favicon-16x16.png	(from https://bryan-herrera.netlify.app/)
20:11:57	424/424	---M--	200	added ('OK')	application/octet-stream	etag:%224287f124123167afd2b3815b2bddf133-ssl%22	https://bryan-herrera.netlify.app/images/site.webmanifest	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/images/site.webmanifest	(from https://bryan-herrera.netlify.app/)
20:11:58	1523/1523	---M-Z	200	added ('OK')	image/svg+xml	etag:%2218ab3c7b487468bf26041680d5a867e6-ssl-df%22	https://bryan-herrera.netlify.app/images/safari-pinned-tab.svg	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/images/safari-pinned-tab.svg	(from https://bryan-herrera.netlify.app/)
20:11:59	20122/20122	---M-Z	200	added ('OK')	text/css	etag:%22088a531cdcb49e0d45132c3ee6af4a9b-ssl-df%22	https://bryan-herrera.netlify.app/style.css	C:/My%20Web%20Sites/copia/bryan-herrera.netlify.app/style.css	(from https://bryan-herrera.netlify.app/)
20:12:00	11748/11748	---M-Z	200	added ('OK')	application/javascript	etag:%225eb04010-2de4%22	https://cdnjs.cloudflare.com/ajax/libs/typed.js/2.0.11/typed.min.js	C:/My%20Web%20Sites/copia/cdnjs.cloudflare.com/ajax/libs/typed.js/2.0.11/typed.min.js	(from https://bryan-herrera.netlify.app/)
